,t,v
426,0.0213,-140.0
427,0.02135,-140.0
428,0.0214,-140.0
429,0.02145,-140.0
430,0.0215,-140.0
431,0.02155,-140.0
432,0.0216,-140.0
433,0.02165,-140.0
434,0.0217,-140.0
435,0.02175,-140.0
436,0.0218,-140.0
437,0.02185,-140.0
438,0.0219,-140.0
439,0.02195,-140.0
440,0.022,-140.0
441,0.02205,-140.0
442,0.0221,-140.0
443,0.02215,-140.0
444,0.0222,-140.0
445,0.02225,-140.0
446,0.0223,-140.0
447,0.02235,-140.0
448,0.0224,-140.0
449,0.02245,-140.0
450,0.0225,-140.0
451,0.02255,-140.0
452,0.0226,-140.0
453,0.02265,-140.0
454,0.0227,-140.0
455,0.02275,-140.0
456,0.0228,-140.0
457,0.02285,-140.0
458,0.0229,-140.0
459,0.02295,-140.0
460,0.023,-140.0
461,0.02305,-140.0
462,0.0231,-140.0
463,0.02315,-140.0
464,0.0232,-140.0
465,0.02325,-140.0
466,0.0233,-140.0
467,0.02335,-140.0
468,0.0234,-140.0
469,0.02345,-140.0
470,0.0235,-140.0
471,0.02355,-140.0
472,0.0236,-140.0
473,0.02365,-140.0
474,0.0237,-140.0
475,0.02375,-140.0
476,0.0238,-140.0
477,0.02385,-140.0
478,0.0239,-140.0
479,0.02395,-140.0
480,0.024,-140.0
481,0.02405,-140.0
482,0.0241,-140.0
483,0.02415,-140.0
484,0.0242,-140.0
485,0.02425,-140.0
486,0.0243,-140.0
487,0.02435,-140.0
488,0.0244,-140.0
489,0.02445,-140.0
490,0.0245,-140.0
491,0.02455,-140.0
492,0.0246,-140.0
493,0.02465,-140.0
494,0.0247,-140.0
495,0.02475,-140.0
496,0.0248,-140.0
497,0.02485,-140.0
498,0.0249,-140.0
499,0.02495,-140.0
500,0.025,-140.0
501,0.02505,-140.0
502,0.0251,-140.0
503,0.02515,-140.0
504,0.0252,-140.0
505,0.02525,-140.0
506,0.0253,-140.0
507,0.02535,-140.0
508,0.0254,-140.0
509,0.02545,-140.0
510,0.0255,-140.0
511,0.02555,-140.0
512,0.0256,-140.0
513,0.02565,-140.0
514,0.0257,-140.0
515,0.02575,-140.0
516,0.0258,-140.0
517,0.02585,-140.0
518,0.0259,-140.0
519,0.02595,-140.0
520,0.026,-140.0
521,0.02605,-140.0
522,0.0261,-140.0
523,0.02615,-140.0
524,0.0262,-140.0
525,0.02625,-140.0
526,0.0263,-140.0
527,0.02635,-140.0
528,0.0264,-140.0
529,0.02645,-140.0
530,0.0265,-140.0
531,0.02655,-140.0
532,0.0266,-140.0
533,0.02665,-140.0
534,0.0267,-140.0
535,0.02675,-140.0
536,0.0268,-140.0
537,0.02685,-140.0
538,0.0269,-140.0
539,0.02695,-140.0
540,0.027,-140.0
541,0.02705,-140.0
542,0.0271,-140.0
543,0.02715,-140.0
544,0.0272,-140.0
545,0.02725,-140.0
546,0.0273,-140.0
547,0.02735,-140.0
548,0.0274,-140.0
549,0.02745,-140.0
550,0.0275,-140.0
551,0.02755,-140.0
552,0.0276,-140.0
553,0.02765,-140.0
